NUC_COD,NUC_NOMBRE,MUN_COD,MUN_NOMBRE,PROV_COD,PROV_NOMBRE,COM_COD,COM_NOMBRE,CCAA_COD,CCAA_NOMBRE,SHP_AREA,SHP_LEN,geometry
22160000101,Naval,22160,Naval,22,Huesca,7,Somontano de Barbastro,02,Aragón,91035.31661040000,1156.17061901000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>0.151254,42.197051 0.152551,42.197387 0.154172,42.196692 0.154429,42.196198 0.154229,42.194693 0.153992,42.193701 0.153053,42.193657 0.152281,42.193841 0.151541,42.194024 0.1513,42.194844 0.151129,42.195801 0.151254,42.197051</coordinates></LinearRing></outerBoundaryIs></Polygon>"
22162000101,Novales,22162,Novales,22,Huesca,6,Hoya de Huesca / Plana de Uesca,02,Aragón,94067.03152680000,1257.37562640000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-0.286871,42.031404 -0.287586,42.03178 -0.287771,42.032476 -0.2874,42.033225 -0.288098,42.034012 -0.285772,42.035021 -0.284967,42.034669 -0.284053,42.034342 -0.28415,42.033759 -0.283768,42.032673 -0.2844,42.032077 -0.285196,42.031803 -0.286544,42.031968 -0.286871,42.031404</coordinates></LinearRing></outerBoundaryIs></Polygon>"
22163000301,Nocito,22163,Nueno,22,Huesca,6,Hoya de Huesca / Plana de Uesca,02,Aragón,76259.34715320000,1502.94239147000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-0.256321,42.324006 -0.25534,42.324999 -0.253399,42.325066 -0.252729,42.324925 -0.253107,42.324728 -0.254306,42.323661 -0.25096,42.322805 -0.251218,42.321488 -0.252547,42.321691 -0.255263,42.323228 -0.256321,42.324006</coordinates></LinearRing></outerBoundaryIs></Polygon>"
22163700100,Lúsera,22163,Nueno,22,Huesca,6,Hoya de Huesca / Plana de Uesca,02,Aragón,20414.65246020000,543.53195086000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-0.324796,42.321076 -0.325109,42.320438 -0.326385,42.320443 -0.326708,42.320614 -0.326552,42.321444 -0.326287,42.321715 -0.325925,42.321935 -0.324627,42.321407 -0.324796,42.321076</coordinates></LinearRing></outerBoundaryIs></Polygon>"
22163000201,Belsué,22163,Nueno,22,Huesca,6,Hoya de Huesca / Plana de Uesca,02,Aragón,13731.46324140000,547.91453768100,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-0.379587,42.315091 -0.379628,42.31547 -0.378422,42.316132 -0.377614,42.316198 -0.376874,42.315727 -0.379587,42.315091</coordinates></LinearRing></outerBoundaryIs></Polygon>"
22163000401,Nueno,22163,Nueno,22,Huesca,6,Hoya de Huesca / Plana de Uesca,02,Aragón,87508.21703869999,1395.70442578000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-0.436979,42.267196 -0.438563,42.266211 -0.439223,42.267117 -0.439502,42.26828 -0.441101,42.269417 -0.440431,42.269853 -0.439524,42.269194 -0.438417,42.269719 -0.436406,42.268657 -0.435447,42.267848 -0.435505,42.267264 -0.436979,42.267196</coordinates></LinearRing></outerBoundaryIs></Polygon>"
22163000601,Santa Eulalia de La Peña,22163,Nueno,22,Huesca,6,Hoya de Huesca / Plana de Uesca,02,Aragón,31602.50071970000,917.43010811700,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-0.402841,42.26247 -0.403501,42.262746 -0.404371,42.26278 -0.405245,42.262495 -0.405514,42.262538 -0.405637,42.26295 -0.405144,42.263237 -0.405216,42.263693 -0.406203,42.263812 -0.406147,42.26419 -0.403863,42.263938 -0.403127,42.263541 -0.40253,42.262716 -0.402841,42.26247</coordinates></LinearRing></outerBoundaryIs></Polygon>"
22163000501,Sabayés,22163,Nueno,22,Huesca,6,Hoya de Huesca / Plana de Uesca,02,Aragón,32099.76899230000,872.32928525100,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-0.420918,42.250739 -0.420623,42.250083 -0.421823,42.249974 -0.422489,42.250271 -0.423104,42.250139 -0.423313,42.250648 -0.422697,42.251095 -0.422028,42.251439 -0.42154,42.251548 -0.420673,42.251375 -0.420081,42.250968 -0.419485,42.250639 -0.419573,42.250453 -0.420918,42.250739</coordinates></LinearRing></outerBoundaryIs></Polygon>"
22163000101,Arascués,22163,Nueno,22,Huesca,6,Hoya de Huesca / Plana de Uesca,02,Aragón,98906.74071990000,1366.87689768000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-0.457164,42.247773 -0.461437,42.246418 -0.463646,42.247827 -0.457898,42.249716 -0.457164,42.247773</coordinates></LinearRing></outerBoundaryIs></Polygon>"
22163700200,Nisano,22163,Nueno,22,Huesca,6,Hoya de Huesca / Plana de Uesca,02,Aragón,20514.07907970000,534.76407568200,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-0.481269,42.23068 -0.4807,42.231319 -0.479995,42.23158 -0.479412,42.231151 -0.479179,42.230696 -0.4796,42.2301 -0.480297,42.229913 -0.480724,42.230202 -0.481138,42.230304 -0.481269,42.23068</coordinates></LinearRing></outerBoundaryIs></Polygon>"
22164000101,Olvena,22164,Olvena,22,Huesca,7,Somontano de Barbastro,02,Aragón,45519.70244190000,1314.75102207000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>0.26124,42.110915 0.261297,42.110695 0.261979,42.110486 0.261871,42.109774 0.262075,42.109337 0.262557,42.108271 0.26257,42.107976 0.26051,42.10774 0.260296,42.107989 0.261182,42.108731 0.261155,42.1093 0.260648,42.109883 0.260429,42.110573 0.260145,42.110002 0.259819,42.110243 0.260428,42.111372 0.261078,42.111763 0.26124,42.110915</coordinates></LinearRing></outerBoundaryIs></Polygon>"
22165000101,Ontiñena,22165,Ontiñena,22,Huesca,11,Bajo Cinca / Baix Cinca,02,Aragón,568630.02235999994,3735.72798054000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>0.079658,41.674958 0.080818,41.67636 0.082619,41.677459 0.084602,41.677803 0.086253,41.678391 0.086379,41.679066 0.084149,41.681396 0.085003,41.682285 0.089459,41.680177 0.092012,41.678727 0.091083,41.677262 0.092685,41.67585 0.091067,41.674417 0.088421,41.673345 0.085239,41.672194 0.083622,41.673641 0.083826,41.674642 0.082655,41.674954 0.079658,41.674958</coordinates></LinearRing></outerBoundaryIs></Polygon>"
22167000201,Osso de Cinca,22167,Osso de Cinca,22,Huesca,11,Bajo Cinca / Baix Cinca,02,Aragón,280579.13722999999,2488.96115328000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>0.189992,41.668739 0.190501,41.669202 0.189951,41.671581 0.192444,41.671694 0.194624,41.670382 0.194428,41.667635 0.193942,41.665783 0.194965,41.663161 0.194069,41.662845 0.191817,41.663911 0.191,41.66457 0.19061,41.666492 0.190966,41.66696 0.189992,41.668739</coordinates></LinearRing></outerBoundaryIs></Polygon>"
22167000101,Almudáfar,22167,Osso de Cinca,22,Huesca,11,Bajo Cinca / Baix Cinca,02,Aragón,65072.02541840000,1127.82785447000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>0.20533,41.645723 0.206367,41.646445 0.207503,41.646193 0.208146,41.645512 0.207544,41.644072 0.207461,41.642396 0.20669,41.642285 0.205685,41.644565 0.20533,41.645723</coordinates></LinearRing></outerBoundaryIs></Polygon>"
22168000101,Palo,22168,Palo,22,Huesca,3,Sobrarbe,02,Aragón,69547.19864829999,1114.60043784000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>0.243439,42.324301 0.244457,42.325191 0.246355,42.325137 0.246059,42.321521 0.244931,42.32152 0.243439,42.324301</coordinates></LinearRing></outerBoundaryIs></Polygon>"
22170000101,Baños de Panticosa,22170,Panticosa,22,Huesca,2,Alto Gállego,02,Aragón,121213.32583600000,1396.65149950000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-0.232815,42.763754 -0.230826,42.763668 -0.230852,42.76196 -0.231728,42.761535 -0.231309,42.760744 -0.233335,42.759994 -0.235341,42.761381 -0.235956,42.76173 -0.234198,42.763843 -0.232815,42.763754</coordinates></LinearRing></outerBoundaryIs></Polygon>"
22170000301,El Pueyo de Jaca,22170,Panticosa,22,Huesca,2,Alto Gállego,02,Aragón,41010.00567700000,902.14037153900,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-0.298064,42.721848 -0.297313,42.721691 -0.296953,42.72124 -0.296932,42.720646 -0.298047,42.718611 -0.298377,42.718631 -0.298814,42.71984 -0.29945,42.720123 -0.299546,42.720451 -0.29813,42.721431 -0.298064,42.721848</coordinates></LinearRing></outerBoundaryIs></Polygon>"
22170000201,Panticosa,22170,Panticosa,22,Huesca,2,Alto Gállego,02,Aragón,544366.03872900002,4369.97139267000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-0.282451,42.722758 -0.285768,42.723644 -0.289228,42.723674 -0.294101,42.722904 -0.296231,42.724282 -0.298042,42.72732 -0.296595,42.728119 -0.293892,42.726102 -0.29092,42.725381 -0.287356,42.726104 -0.284108,42.726079 -0.282305,42.726922 -0.282918,42.728238 -0.282554,42.72849 -0.280681,42.72769 -0.278596,42.725297 -0.277734,42.724 -0.278711,42.722669 -0.279737,42.722615 -0.282451,42.722758</coordinates></LinearRing></outerBoundaryIs></Polygon>"
22172000101,Peñalba,22172,Peñalba,22,Huesca,10,Los Monegros,02,Aragón,349909.82914599997,3542.01513351000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-0.038786,41.503219 -0.03779,41.503174 -0.036868,41.505997 -0.033973,41.505518 -0.034632,41.501746 -0.033508,41.501698 -0.031855,41.50204 -0.0309,41.501111 -0.034027,41.500366 -0.032825,41.499737 -0.033782,41.498954 -0.034676,41.500112 -0.036875,41.499688 -0.042649,41.500414 -0.042446,41.501505 -0.040722,41.502288 -0.039411,41.504658 -0.038702,41.503947 -0.038786,41.503219</coordinates></LinearRing></outerBoundaryIs></Polygon>"
22173000901,Villalangua,22173,Las Peñas de Riglos,22,Huesca,6,Hoya de Huesca / Plana de Uesca,02,Aragón,20084.33257130000,607.25372299500,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-0.802322,42.420604 -0.801701,42.420931 -0.800207,42.420693 -0.800106,42.420449 -0.800917,42.419674 -0.800828,42.419123 -0.801391,42.419215 -0.802322,42.420604</coordinates></LinearRing></outerBoundaryIs></Polygon>"
22173000701,Santa María,22173,Las Peñas de Riglos,22,Huesca,6,Hoya de Huesca / Plana de Uesca,02,Aragón,33910.94872050000,964.56479582400,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-0.741164,42.393728 -0.741842,42.393637 -0.743043,42.393848 -0.743089,42.394141 -0.741307,42.395231 -0.739075,42.396333 -0.738829,42.39614 -0.740626,42.394613 -0.741164,42.393728</coordinates></LinearRing></outerBoundaryIs></Polygon>"
22173001000,Yeste,22173,Las Peñas de Riglos,22,Huesca,6,Hoya de Huesca / Plana de Uesca,02,Aragón,6376.43384275000,322.16029604200,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-0.689729,42.3867 -0.690206,42.387188 -0.690025,42.38744 -0.689088,42.387181 -0.688803,42.386745 -0.688981,42.386573 -0.689729,42.3867</coordinates></LinearRing></outerBoundaryIs></Polygon>"
