MUN_URI,DBPEDIA_LINK
"http://opendata.aragon.es/recurso/territorio/Municipio/Robres","http://es.dbpedia.org/resource/Robres"
"http://opendata.aragon.es/recurso/territorio/Municipio/Sabiñánigo","http://es.dbpedia.org/resource/Sabiñánigo"
"http://opendata.aragon.es/recurso/territorio/Municipio/Sahún","http://es.dbpedia.org/resource/Sahún"
"http://opendata.aragon.es/recurso/territorio/Municipio/Salillas","http://es.dbpedia.org/resource/Salillas"
"http://opendata.aragon.es/recurso/territorio/Municipio/Sangarrén","http://es.dbpedia.org/resource/Sangarrén"
"http://opendata.aragon.es/recurso/territorio/Municipio/Sariñena","http://es.dbpedia.org/resource/Sariñena"
"http://opendata.aragon.es/recurso/territorio/Municipio/Secastilla","http://es.dbpedia.org/resource/Secastilla"
"http://opendata.aragon.es/recurso/territorio/Municipio/Seira","http://es.dbpedia.org/resource/Seira"
"http://opendata.aragon.es/recurso/territorio/Municipio/Sena","http://es.dbpedia.org/resource/Sena"
"http://opendata.aragon.es/recurso/territorio/Municipio/Sesué","http://es.dbpedia.org/resource/Sesué"
"http://opendata.aragon.es/recurso/territorio/Municipio/Siétamo","http://es.dbpedia.org/resource/Siétamo"
"http://opendata.aragon.es/recurso/territorio/Municipio/Sesa","http://es.dbpedia.org/resource/Sesa"
"http://opendata.aragon.es/recurso/territorio/Municipio/Sopeira","http://es.dbpedia.org/resource/Sopeira"
"http://opendata.aragon.es/recurso/territorio/Municipio/Tella-Sin","http://es.dbpedia.org/resource/Tella-Sin"
"http://opendata.aragon.es/recurso/territorio/Municipio/Tierz","http://es.dbpedia.org/resource/Tierz"
"http://opendata.aragon.es/recurso/territorio/Municipio/Tardienta","http://es.dbpedia.org/resource/Tardienta"
"http://opendata.aragon.es/recurso/territorio/Municipio/Tolva","http://es.dbpedia.org/resource/Tolva"
"http://opendata.aragon.es/recurso/territorio/Municipio/Torla","http://es.dbpedia.org/resource/Torla"
"http://opendata.aragon.es/recurso/territorio/Municipio/Tramaced","http://es.dbpedia.org/resource/Tramaced"
"http://opendata.aragon.es/recurso/territorio/Municipio/Valfarta","http://es.dbpedia.org/resource/Valfarta"
"http://opendata.aragon.es/recurso/territorio/Municipio/Veracruz","http://es.dbpedia.org/resource/Veracruz"
"http://opendata.aragon.es/recurso/territorio/Municipio/Villanova","http://es.dbpedia.org/resource/Villanova"
"http://opendata.aragon.es/recurso/territorio/Municipio/Vicién","http://es.dbpedia.org/resource/Vicién"
"http://opendata.aragon.es/recurso/territorio/Municipio/Villanúa","http://es.dbpedia.org/resource/Villanúa"
"http://opendata.aragon.es/recurso/territorio/Municipio/Yésero","http://es.dbpedia.org/resource/Yésero"
"http://opendata.aragon.es/recurso/territorio/Municipio/Zaidín","http://es.dbpedia.org/resource/Zaidín"
"http://opendata.aragon.es/recurso/territorio/Municipio/Abejuela","http://es.dbpedia.org/resource/Abejuela"
"http://opendata.aragon.es/recurso/territorio/Municipio/Aínsa-Sobrarbe","http://es.dbpedia.org/resource/Aínsa-Sobrarbe"
"http://opendata.aragon.es/recurso/territorio/Municipio/Ababuj","http://es.dbpedia.org/resource/Ababuj"
"http://opendata.aragon.es/recurso/territorio/Municipio/Vencillón","http://es.dbpedia.org/resource/Vencillón"
"http://opendata.aragon.es/recurso/territorio/Municipio/Aguatón","http://es.dbpedia.org/resource/Aguatón"
"http://opendata.aragon.es/recurso/territorio/Municipio/Lupiñén-Ortilla","http://es.dbpedia.org/resource/Lupiñén-Ortilla"
"http://opendata.aragon.es/recurso/territorio/Municipio/Aguaviva","http://es.dbpedia.org/resource/Aguaviva"
"http://opendata.aragon.es/recurso/territorio/Municipio/Alacón","http://es.dbpedia.org/resource/Alacón"
"http://opendata.aragon.es/recurso/territorio/Municipio/Alba","http://es.dbpedia.org/resource/Alba"
"http://opendata.aragon.es/recurso/territorio/Municipio/Albentosa","http://es.dbpedia.org/resource/Albentosa"
